page,case,image_index,xref,width,height,ext,file
15,caso_001,0,286,152,243,jpeg,caso_001_pagina_015_img_00.jpeg
16,caso_001,0,289,571,912,jpeg,caso_001_pagina_016_img_00.jpeg
17,caso_001,0,292,860,748,jpeg,caso_001_pagina_017_img_00.jpeg
18,caso_001,0,295,714,688,jpeg,caso_001_pagina_018_img_00.jpeg
19,caso_002,0,298,257,164,jpeg,caso_002_pagina_019_img_00.jpeg
20,caso_002,0,301,939,602,jpeg,caso_002_pagina_020_img_00.jpeg
21,caso_003,0,304,104,241,jpeg,caso_003_pagina_021_img_00.jpeg
22,caso_003,0,309,401,934,jpeg,caso_003_pagina_022_img_00.jpeg
23,caso_003,0,312,930,582,jpeg,caso_003_pagina_023_img_00.jpeg
24,caso_003,0,315,931,665,jpeg,caso_003_pagina_024_img_00.jpeg
25,caso_004,0,318,217,238,jpeg,caso_004_pagina_025_img_00.jpeg
26,caso_004,0,321,745,815,jpeg,caso_004_pagina_026_img_00.jpeg
27,caso_004,0,324,732,885,jpeg,caso_004_pagina_027_img_00.jpeg
28,caso_004,0,327,890,598,jpeg,caso_004_pagina_028_img_00.jpeg
29,caso_005,0,330,123,242,jpeg,caso_005_pagina_029_img_00.jpeg
30,caso_005,0,333,478,939,jpeg,caso_005_pagina_030_img_00.jpeg
31,caso_005,0,336,751,501,jpeg,caso_005_pagina_031_img_00.jpeg
32,caso_005,0,339,613,919,jpeg,caso_005_pagina_032_img_00.jpeg
33,caso_006,0,342,181,241,jpeg,caso_006_pagina_033_img_00.jpeg
34,caso_006,0,345,338,913,jpeg,caso_006_pagina_034_img_00.jpeg
35,caso_006,0,348,703,938,jpeg,caso_006_pagina_035_img_00.jpeg
36,caso_006,0,351,622,933,jpeg,caso_006_pagina_036_img_00.jpeg
37,caso_007,0,354,153,235,jpeg,caso_007_pagina_037_img_00.jpeg
38,caso_007,0,358,622,956,jpeg,caso_007_pagina_038_img_00.jpeg
39,caso_007,0,361,659,878,jpeg,caso_007_pagina_039_img_00.jpeg
40,caso_007,0,364,746,467,jpeg,caso_007_pagina_040_img_00.jpeg
41,caso_008,0,367,114,235,jpeg,caso_008_pagina_041_img_00.jpeg
42,caso_008,0,371,446,923,jpeg,caso_008_pagina_042_img_00.jpeg
43,caso_009,0,374,80,241,jpeg,caso_009_pagina_043_img_00.jpeg
44,caso_009,0,378,333,1003,jpeg,caso_009_pagina_044_img_00.jpeg
44,caso_009,1,380,371,512,jpeg,caso_009_pagina_044_img_01.jpeg
45,caso_010,0,383,242,76,jpeg,caso_010_pagina_045_img_00.jpeg
46,caso_010,0,386,938,296,jpeg,caso_010_pagina_046_img_00.jpeg
47,caso_010,0,389,906,559,jpeg,caso_010_pagina_047_img_00.jpeg
48,caso_010,0,392,747,413,jpeg,caso_010_pagina_048_img_00.jpeg
49,caso_011,0,395,169,244,jpeg,caso_011_pagina_049_img_00.jpeg
50,caso_011,0,398,372,557,jpeg,caso_011_pagina_050_img_00.jpeg
50,caso_011,1,401,354,1003,jpeg,caso_011_pagina_050_img_01.jpeg
51,caso_012,0,404,84,240,jpeg,caso_012_pagina_051_img_00.jpeg
52,caso_012,0,407,350,886,jpeg,caso_012_pagina_052_img_00.jpeg
53,caso_012,0,410,622,897,jpeg,caso_012_pagina_053_img_00.jpeg
54,caso_012,0,413,747,847,jpeg,caso_012_pagina_054_img_00.jpeg
55,caso_013,0,416,237,100,jpeg,caso_013_pagina_055_img_00.jpeg
56,caso_013,0,420,1001,344,jpeg,caso_013_pagina_056_img_00.jpeg
57,caso_013,0,424,965,1279,jpeg,caso_013_pagina_057_img_00.jpeg
58,caso_013,0,427,590,885,jpeg,caso_013_pagina_058_img_00.jpeg
59,caso_014,0,430,265,179,jpeg,caso_014_pagina_059_img_00.jpeg
60,caso_014,0,433,747,505,jpeg,caso_014_pagina_060_img_00.jpeg
61,caso_014,0,436,678,891,jpeg,caso_014_pagina_061_img_00.jpeg
62,caso_014,0,440,667,834,jpeg,caso_014_pagina_062_img_00.jpeg
63,caso_015,0,443,114,242,jpeg,caso_015_pagina_063_img_00.jpeg
64,caso_015,0,446,375,920,jpeg,caso_015_pagina_064_img_00.jpeg
65,caso_015,0,449,523,886,jpeg,caso_015_pagina_065_img_00.jpeg
66,caso_015,0,452,592,888,jpeg,caso_015_pagina_066_img_00.jpeg
67,caso_016,0,455,117,244,jpeg,caso_016_pagina_067_img_00.jpeg
68,caso_016,0,458,374,782,jpeg,caso_016_pagina_068_img_00.jpeg
